name,connections,rps,lat_avg_ms,lat_stdev_ms,lat_max_ms,p99_ms,timeout_errors
arc,32,52371.85,0.7065499999999999,0.76316,20.44,4.11,0
backend,32,223922.0,0.21855000000000002,0.34934,11.63,1.63,0
nginx,32,103685.77,0.32838,0.27511,9.64,1.3,0
pingora_min,32,54211.41,0.6858099999999999,0.8241499999999999,21.04,4.09,0
arc,64,54549.64,1.21,0.7446699999999999,17.15,3.9,0
backend,64,227622.25,0.36867,0.45755,8.05,2.13,0
nginx,64,96038.65,0.69489,0.44304000000000004,9.13,2.24,0
pingora_min,64,47721.97,1.42,0.94,17.69,5.1,0
arc,128,44567.55,3.01,1.92,28.71,9.77,0
backend,128,235434.12,0.68538,0.76425,12.82,3.72,0
nginx,128,90038.93,1.47,0.93,14.99,4.66,0
pingora_min,128,47977.08,2.79,1.7,23.23,9.12,0
arc,256,44353.89,5.85,2.93,36.26,14.62,0
backend,256,228671.21,1.27,1.13,13.88,5.35,0
nginx,256,82447.89,3.12,1.41,16.03,7.2,0
pingora_min,256,48930.42,5.3,2.73,28.18,13.51,0
arc,384,43262.04,8.92,4.27,41.76,20.85,0
backend,384,220459.25,1.87,1.46,27.51,6.72,0
nginx,384,82143.09,4.71,2.35,22.54,11.21,0
pingora_min,384,43396.11,8.84,4.19,36.47,20.28,0
arc,512,40955.5,12.5,5.3,47.12,27.18,0
backend,512,218855.39,2.43,1.81,47.72,7.79,0
nginx,512,77426.0,6.59,2.47,39.1,13.43,0
pingora_min,512,42783.42,11.96,4.97,44.64,25.17,0
arc,768,39429.79,19.39,7.35,74.96,39.25,0
backend,768,213650.26,3.71,3.39,133.62,9.86,0
nginx,768,69506.01,11.06,4.14,122.7,23.91,0
pingora_min,768,39991.15,19.13,7.25,67.01,38.38,0
arc,1024,37306.48,27.24,10.92,96.14,55.64,0
backend,1024,204644.89,5.07,3.36,109.39,13.76,0
nginx,1024,63834.58,16.2,7.16,327.1,34.9,0
pingora_min,1024,38200.03,26.7,11.23,124.65,56.51,0
